Cluster 3,82.0,1559246.0,5.0,1.0,
Cluster 3,0.0,1472280.0,0.0,1.0,
Cluster 3,0.0,1468829.0,0.0,1.0,
Cluster 3,3.0,1634541.0,1.0,1.0,
Cluster 3,18.0,1613547.0,3.0,1.0,
Cluster 3,8.0,1647726.0,1.0,2.0,
Cluster 3,32.0,1520878.0,5.0,1.0,
Cluster 3,102.0,1650641.0,5.0,1.0,
Cluster 3,28.0,1606527.0,4.0,1.0,
Cluster 3,0.0,1457613.0,0.0,1.0,
Cluster 3,3.0,1576906.0,1.0,1.0,
Cluster 3,14.0,1597346.0,2.0,1.0,
Cluster 3,4.0,1520607.0,1.0,1.0,
Cluster 3,7.0,1661761.0,1.0,1.0,
Cluster 3,34.0,1606945.0,5.0,1.0,
Cluster 3,38.0,1457036.0,5.0,1.0,
Cluster 3,21.0,1637451.0,3.0,1.0,
Cluster 3,3.0,1513698.0,1.0,2.0,
Cluster 3,17.0,1663306.0,2.0,1.0,
Cluster 3,0.0,1650226.0,0.0,1.0,
Cluster 3,1.0,1503644.0,1.0,1.0,
Cluster 3,0.0,1656540.0,0.0,1.0,
Cluster 3,11.0,1636174.0,2.0,1.0,
Cluster 3,0.0,1596342.0,0.0,1.0,
Cluster 3,10.0,1543341.0,2.0,1.0,
Cluster 3,6.0,1454252.0,1.0,1.0,
Cluster 3,4.0,1603432.0,1.0,1.0,
Cluster 3,0.0,1579961.0,0.0,1.0,
Cluster 3,5.0,1532168.0,1.0,1.0,
Cluster 3,18.0,1564098.0,3.0,1.0,
Cluster 3,40.0,1457537.0,5.0,1.0,
Cluster 3,14.0,1661700.0,2.0,1.0,
Cluster 3,0.0,1606807.0,0.0,1.0,
Cluster 3,4.0,1660324.0,1.0,1.0,
Cluster 3,1.0,1546006.0,1.0,1.0,
Cluster 3,13.0,1562965.0,2.0,1.0,
Cluster 3,29.0,1490261.0,4.0,1.0,
Cluster 3,6.0,1615678.0,1.0,1.0,
Cluster 3,0.0,1464154.0,0.0,1.0,
Cluster 3,23.0,1533078.0,3.0,1.0,
Cluster 3,3.0,1499955.0,1.0,1.0,
Cluster 3,12.0,1564217.0,2.0,1.0,
Cluster 3,1.0,1666371.0,1.0,1.0,
Cluster 3,27.0,1653312.0,4.0,1.0,
Cluster 3,5.0,1570603.0,1.0,1.0,
Cluster 3,63.0,1572327.0,5.0,1.0,
Cluster 3,16.0,1502984.0,2.0,1.0,
Cluster 3,120.0,1593078.0,5.0,1.0,
Cluster 3,0.0,1657277.0,0.0,1.0,
Cluster 3,11.0,1600698.0,2.0,1.0,
Cluster 3,25.0,1474991.0,3.0,1.0,
Cluster 3,33.0,1592157.0,5.0,1.0,
Cluster 3,2.0,1596265.0,1.0,1.0,
Cluster 3,1.0,1644678.0,1.0,3.0,
Cluster 3,108.0,1482974.0,5.0,1.0,
Cluster 3,5.0,1587326.0,1.0,1.0,
Cluster 3,16.0,1572099.0,2.0,1.0,
Cluster 3,1.0,1653213.0,1.0,1.0,
Cluster 3,18.0,1553708.0,3.0,1.0,
Cluster 3,7.0,1614191.0,1.0,1.0,
Cluster 3,0.0,1669096.0,0.0,1.0,
Cluster 3,34.0,1664730.0,5.0,1.0,
Cluster 3,166.0,1598900.0,5.0,1.0,
Cluster 3,11.0,1606874.0,2.0,1.0,
Cluster 3,35.0,1489817.0,5.0,1.0,
Cluster 3,147.0,1455794.0,5.0,1.0,
Cluster 3,45.0,1559093.0,5.0,1.0,
Cluster 3,1.0,1665504.0,1.0,3.0,
Cluster 3,32.0,1518013.0,5.0,1.0,
Cluster 3,3.0,1461269.0,1.0,1.0,
Cluster 3,0.0,1650748.0,0.0,1.0,
Cluster 3,9.0,1660913.0,2.0,1.0,
Cluster 3,0.0,1590000.0,0.0,1.0,
Cluster 3,4.0,1523905.0,1.0,1.0,
Cluster 3,92.0,1580914.0,5.0,1.0,
Cluster 3,173.0,1546649.0,5.0,1.0,
Cluster 3,49.0,1608106.0,5.0,1.0,
Cluster 3,4.0,1497531.0,1.0,1.0,
Cluster 3,29.0,1480487.0,4.0,3.0,
Cluster 3,0.0,1556200.0,0.0,1.0,
Cluster 3,10.0,1595753.0,2.0,1.0,
Cluster 3,26.0,1610330.0,3.0,1.0,
Cluster 3,4.0,1641039.0,1.0,1.0,
Cluster 3,33.0,1497062.0,5.0,1.0,
Cluster 3,45.0,1511325.0,5.0,1.0,
Cluster 3,3.0,1478381.0,1.0,1.0,
Cluster 3,25.0,1458396.0,3.0,1.0,
Cluster 3,19.0,1533378.0,3.0,1.0,
Cluster 3,1.0,1574691.0,1.0,1.0,
Cluster 3,5.0,1527708.0,1.0,1.0,
Cluster 3,23.0,1522180.0,3.0,1.0,
Cluster 3,0.0,1633930.0,0.0,1.0,
Cluster 3,11.0,1494427.0,2.0,1.0,
Cluster 3,2.0,1534526.0,1.0,1.0,
Cluster 3,2.0,1656322.0,1.0,1.0,
Cluster 3,72.0,1607808.0,5.0,1.0,
Cluster 3,12.0,1641562.0,2.0,1.0,
Cluster 3,2.0,1526305.0,1.0,1.0,
Cluster 3,0.0,1670707.0,0.0,1.0,
Cluster 3,13.0,1500445.0,2.0,1.0,
Cluster 3,0.0,1494743.0,0.0,1.0,
Cluster 3,0.0,1549498.0,0.0,2.0,
Cluster 3,6.0,1512338.0,1.0,1.0,
Cluster 3,19.0,1479157.0,3.0,1.0,
Cluster 3,11.0,1505754.0,2.0,1.0,
Cluster 3,64.0,1648888.0,5.0,1.0,
Cluster 3,5.0,1454239.0,1.0,1.0,
Cluster 3,9.0,1575199.0,2.0,1.0,
Cluster 3,55.0,1649008.0,5.0,2.0,
Cluster 3,31.0,1585648.0,5.0,1.0,
Cluster 3,18.0,1458833.0,3.0,1.0,
Cluster 3,5.0,1666972.0,1.0,1.0,
Cluster 3,0.0,1638591.0,0.0,1.0,
Cluster 3,43.0,1491546.0,5.0,1.0,
Cluster 3,9.0,1650563.0,2.0,1.0,
Cluster 3,0.0,1533035.0,0.0,1.0,
Cluster 3,23.0,1644828.0,3.0,1.0,
Cluster 3,20.0,1472906.0,3.0,1.0,
Cluster 3,0.0,1601089.0,0.0,1.0,
Cluster 3,70.0,1662628.0,5.0,2.0,
Cluster 3,40.0,1646878.0,5.0,1.0,
Cluster 3,9.0,1597291.0,2.0,1.0,
Cluster 3,8.0,1515264.0,1.0,1.0,
Cluster 3,23.0,1483554.0,3.0,1.0,
Cluster 3,16.0,1651672.0,2.0,1.0,
Cluster 3,31.0,1657530.0,5.0,1.0,
Cluster 3,42.0,1613974.0,5.0,2.0,
Cluster 3,2.0,1498833.0,1.0,1.0,
Cluster 3,2.0,1651028.0,1.0,1.0,
Cluster 3,6.0,1464812.0,1.0,1.0,
Cluster 3,0.0,1564266.0,0.0,1.0,
Cluster 3,8.0,1481985.0,1.0,1.0,
Cluster 3,36.0,1470518.0,5.0,1.0,
Cluster 3,15.0,1617667.0,2.0,2.0,
Cluster 3,11.0,1653487.0,2.0,1.0,
Cluster 3,2.0,1489707.0,1.0,2.0,
Cluster 3,1.0,1464941.0,1.0,2.0,
Cluster 3,11.0,1523756.0,2.0,1.0,
Cluster 3,1.0,1484359.0,1.0,1.0,
Cluster 3,23.0,1464169.0,3.0,1.0,
Cluster 3,4.0,1601408.0,1.0,1.0,
Cluster 3,3.0,1481883.0,1.0,1.0,
Cluster 3,65.0,1636175.0,5.0,1.0,
Cluster 3,0.0,1529548.0,0.0,1.0,
Cluster 3,7.0,1605708.0,1.0,1.0,
Cluster 3,0.0,1662313.0,0.0,1.0,
Cluster 3,1.0,1651437.0,1.0,1.0,
Cluster 3,9.0,1554741.0,2.0,1.0,
Cluster 3,62.0,1512825.0,5.0,2.0,
Cluster 3,12.0,1537547.0,2.0,1.0,
Cluster 3,29.0,1560860.0,4.0,1.0,
Cluster 3,3.0,1496587.0,1.0,1.0,
Cluster 3,18.0,1559346.0,3.0,1.0,
Cluster 3,3.0,1551270.0,1.0,1.0,
Cluster 3,1.0,1544194.0,1.0,1.0,
Cluster 3,54.0,1630775.0,5.0,7.0,
Cluster 3,55.0,1617484.0,5.0,1.0,
Cluster 3,27.0,1523720.0,4.0,1.0,
Cluster 3,127.0,1457247.0,5.0,1.0,
Cluster 3,52.0,1576915.0,5.0,1.0,
Cluster 3,0.0,1665812.0,0.0,1.0,
Cluster 3,18.0,1613554.0,3.0,1.0,
Cluster 3,3.0,1491354.0,1.0,1.0,
Cluster 3,0.0,1663513.0,0.0,1.0,
Cluster 3,3.0,1557179.0,1.0,1.0,
Cluster 3,3.0,1500157.0,1.0,1.0,
Cluster 3,0.0,1518901.0,0.0,1.0,
Cluster 3,10.0,1556054.0,2.0,1.0,
Cluster 3,14.0,1549774.0,2.0,1.0,
Cluster 3,7.0,1625607.0,1.0,1.0,
Cluster 3,27.0,1516006.0,4.0,2.0,
Cluster 3,1.0,1664504.0,1.0,1.0,
Cluster 3,39.0,1636882.0,5.0,1.0,
Cluster 3,21.0,1595708.0,3.0,1.0,
Cluster 3,3.0,1610538.0,1.0,1.0,
Cluster 3,5.0,1669766.0,1.0,3.0,
Cluster 3,6.0,1491415.0,1.0,1.0,
Cluster 3,7.0,1576044.0,1.0,1.0,
Cluster 3,6.0,1644590.0,1.0,1.0,
Cluster 3,19.0,1475185.0,3.0,1.0,
Cluster 3,10.0,1476183.0,2.0,1.0,
Cluster 3,22.0,1578475.0,3.0,1.0,
Cluster 3,21.0,1645067.0,3.0,1.0,
Cluster 3,64.0,1666380.0,5.0,1.0,
Cluster 3,4.0,1585966.0,1.0,1.0,
Cluster 3,18.0,1519932.0,3.0,1.0,
Cluster 3,113.0,1626851.0,5.0,1.0,
Cluster 3,36.0,1426936.0,5.0,1.0,
Cluster 3,16.0,1441090.0,2.0,1.0,
Cluster 3,17.0,1351320.0,2.0,1.0,
Cluster 3,4.0,1449587.0,1.0,1.0,
Cluster 3,18.0,1353223.0,3.0,1.0,
Cluster 3,95.0,1379369.0,5.0,1.0,
Cluster 3,27.0,1385841.0,4.0,1.0,
Cluster 3,12.0,1370649.0,2.0,1.0,
Cluster 3,0.0,1402742.0,0.0,1.0,
Cluster 3,2.0,1407423.0,1.0,1.0,
Cluster 3,3.0,1404726.0,1.0,1.0,
Cluster 3,3.0,1405240.0,1.0,1.0,
Cluster 3,4.0,1436776.0,1.0,1.0,
Cluster 3,149.0,1391874.0,5.0,2.0,
Cluster 3,19.0,1408627.0,3.0,1.0,
Cluster 3,1.0,1393678.0,1.0,1.0,
Cluster 3,28.0,1398317.0,4.0,1.0,
Cluster 3,3.0,1401431.0,1.0,3.0,
