103,108925,5,1
75,1806395,5,1
122,13410483,5,1
10,18883,2,1
44,1352496,5,1
48,1808687,5,1
24,1817760,3,1
13,742628,2,1
57,1793004,5,1
119,1806712,5,1
0,293554,0,1
10,1788141,2,1
1,1484359,1,1
18,249028,3,1
37,1800045,5,2
188,4897,5,1
0,271839,0,2
1,31913,1,1
184,1801944,5,1
30,1805010,4,1
15,1824100,2,1
33,134374,5,1
55,1802826,5,6
29,2111651,4,1
106,1805565,5,1
10,9281,2,1
22,61341465,3,1
1,1664504,1,1
1,1807428,1,2
60,1843309,5,1
8,1805739,1,2
159,4510280,5,1
52,1808506,5,1
13,1818069,2,2
11,3635,2,1
12,1805521,2,1
161,1803515,5,1
99,1330614,5,3
5,2360341,1,1
98,1808324,5,1
8,1813250,1,1
89,1805121,5,1
81,1018104,5,1
6,1807305,1,1
64,1805432,5,1
97,1829242,5,1
0,257004,0,1
104,5423398,5,1
63,1572327,5,1
28,1805891,4,1
143,1803286,5,1
31,1802255,5,3
1,3672583,1,1
125,1801560,5,1
0,1761637,0,6
38,56796,5,1
12,1802819,2,1
6,1802718,1,4
0,5291,0,1
45,2031422,5,1
2,16328,1,1
38,1814605,5,1
0,118641,0,1
17,1663306,2,1
32,1800828,5,2
3,1610538,1,1
166,7351629,5,1
60,5133641,5,2
9,1772428,2,1
0,1457613,0,1
24,1806032,3,1
120,1593078,5,1
50,1822179,5,1
140,1802958,5,2
9,2722,2,1
63,166190,5,1
41,1786887,5,1
39,1812189,5,1
17,62314,2,1
8,55781,1,1
10,27498,2,1
60,1818115,5,2
35,1803502,5,3
40,1808738,5,1
52,1807178,5,1
20,1818947,3,1
21,1807304,3,1
23,1522180,3,1
0,1832660,0,1
8,1481985,1,1
19,33787,3,2
64,1804762,5,1
122,1802010,5,3
0,36414,0,1
26,1801636,3,3
22,1802246,3,3
74,1786828,5,1
11,1715327,2,1
50,1736217,5,1
14,425588,2,1
49,1801977,5,4
38,46588,5,1
21,4671672,3,1
36,1798587,5,1
99,1811136,5,1
9,1768784,2,1
39,17570,5,1
84,1808587,5,1
93,1802532,5,1
18,1559346,3,1
1,2115789,1,1
9,15437,2,1
0,92052,0,1
14,394770,2,2
3,1802387,1,1
12,1828300,2,1
71,1395900,5,1
25,29869,3,1
22,7917,3,1
7,208591,1,1
52,1815932,5,1
8,1793045,1,1
53,307147,5,1
45,198309,5,1
16,1502984,2,1
67,16857,5,1
27,312818,4,1
7,453722,1,1
0,1817693,0,1
20,35801,3,1
6,98125,1,2
32,1802948,5,2
20,20936,3,1
41,14263580,5,1
28,84732,4,1
1,484283,1,2
0,193873,0,1
64,1803893,5,1
67,1815106,5,1
44,1833498,5,1
161,94985,5,1
0,1846433,0,2
34,1801039,5,2
7,1802694,1,1
11,15650,2,1
